time,open,high,low,close,tick_volume,spread,real_volume
2020-12-01,104.301,104.572,104.178,104.28,28029,11,0
2020-12-02,104.295,104.746,104.22,104.429,28651,11,0
2020-12-03,104.444,104.531,103.667,103.812,27374,11,0
2020-12-04,103.829,104.238,103.734,104.128,30518,11,0
2020-12-06,104.085,104.216,104.074,104.186,1312,29,0
2020-12-07,104.202,104.307,103.918,103.988,27356,11,0
2020-12-08,104.003,104.201,103.95,104.119,24361,11,0
2020-12-09,104.135,104.4,104.047,104.266,21577,11,0
2020-12-10,104.281,104.574,104.141,104.159,27184,11,0
2020-12-11,104.175,104.175,103.82,103.974,23596,11,0
2020-12-13,103.887,103.99,103.81,103.945,2066,29,0
2020-12-14,103.96,104.099,103.507,103.988,25438,11,0
2020-12-15,104.004,104.146,103.579,103.627,22279,11,0
2020-12-16,103.643,103.912,103.257,103.453,29962,11,0
2020-12-17,103.47,103.555,102.869,103.127,28485,11,0
2020-12-18,103.143,103.59,103.117,103.249,24858,11,0
2020-12-20,103.474,103.482,103.287,103.459,1755,43,0
2020-12-21,103.475,103.885,103.233,103.319,35744,11,0
2020-12-22,103.335,103.729,103.276,103.478,26003,11,0
2020-12-23,103.509,103.647,103.351,103.514,25760,11,0
2020-12-24,103.53,103.762,103.498,103.572,18345,11,0
2020-12-27,103.524,103.581,103.471,103.508,1050,29,0
2020-12-28,103.524,103.893,103.399,103.671,21941,11,0
2020-12-29,103.687,103.8,103.456,103.533,20806,11,0
2020-12-30,103.549,103.578,102.957,103.107,25011,11,0
2020-12-31,103.123,103.31,102.99,103.232,20959,11,0
2021-01-03,103.162,103.294,103.148,103.225,1550,43,0
2021-01-04,103.241,103.256,102.708,103.113,29450,11,0
2021-01-05,103.129,103.186,102.601,102.666,28541,11,0
2021-01-06,102.682,103.438,102.588,103.003,38047,11,0
2021-01-07,103.019,103.951,102.946,103.781,35571,11,0
2021-01-08,103.797,104.087,103.599,103.912,42172,11,0
2021-01-10,103.863,104.074,103.821,104.066,1387,43,0
2021-01-11,104.081,104.392,104.028,104.12,27391,11,0
2021-01-12,104.136,104.326,103.676,103.728,27306,11,0
2021-01-13,103.744,103.99,103.521,103.807,27261,11,0
2021-01-14,103.823,104.192,103.559,103.819,31524,11,0
2021-01-15,103.835,103.891,103.613,103.82,22657,11,0
2021-01-17,103.822,103.902,103.773,103.897,1260,29,0
2021-01-18,103.913,103.926,103.606,103.685,19007,11,0
2021-01-19,103.701,104.08,103.648,103.879,22453,11,0
2021-01-20,103.895,103.923,103.441,103.536,20683,11,0
2021-01-21,103.553,103.662,103.323,103.49,24169,11,0
2021-01-22,103.505,103.881,103.489,103.7,17812,11,0
2021-01-24,103.766,103.809,103.741,103.769,1034,43,0
2021-01-25,103.785,103.931,103.668,103.741,18940,11,0
2021-01-26,103.758,103.823,103.551,103.581,15633,11,0
2021-01-27,103.597,104.194,103.581,104.109,22057,11,0
2021-01-28,104.137,104.458,104.13,104.283,24420,11,0
2021-01-29,104.298,104.934,104.283,104.669,25008,11,0
2021-01-31,104.704,104.792,104.645,104.697,1552,29,0
2021-02-01,104.713,105.029,104.604,104.862,19567,11,0
2021-02-02,104.879,105.168,104.824,105.011,20469,11,0
2021-02-03,105.025,105.099,104.918,104.976,15814,11,0
2021-02-04,104.992,105.575,104.97,105.541,18360,11,0
2021-02-05,105.571,105.763,105.303,105.305,22902,11,0
2021-02-07,105.309,105.412,105.297,105.375,1908,29,0
2021-02-08,105.391,105.666,105.146,105.194,20561,11,0
2021-02-09,105.21,105.223,104.49,104.563,23298,11,0
2021-02-10,104.578,104.838,104.405,104.597,22699,11,0
2021-02-11,104.613,104.8,104.545,104.73,15302,11,0
2021-02-12,104.746,105.177,104.731,104.878,16629,11,0
2021-02-14,104.899,105.057,104.891,105.047,1802,29,0
